ts,cmd_idx,id,mode,goal,actual
1775157989.207355,0,2.0,3.0,0.0,1.5033011436462402
1775157989.207355,0,3.0,3.0,0.0,2.9483110904693604
1775157989.207355,0,4.0,3.0,0.0,1.859184741973877
1775157993.556219,0,1.0,3.0,0.0,0.4970097839832306
1775157993.556219,0,2.0,3.0,0.0,1.7134565114974976
1775157993.556219,0,3.0,3.0,0.0,2.9483110904693604
1775157993.556219,0,4.0,3.0,0.0,1.859184741973877
1775158004.9101996,0,1.0,3.0,0.0,0.4970097839832306
1775158004.9101996,0,2.0,3.0,0.0,1.7456700801849365
1775158004.9101996,0,3.0,3.0,0.0,2.9483110904693604
1775158004.9101996,0,4.0,3.0,0.0,1.859184741973877
1775158100.283616,0,1.0,3.0,0.0,0.5322913527488708
1775158100.283616,0,2.0,3.0,0.0,1.8116313219070435
1775158100.283616,0,3.0,3.0,0.0,2.9483110904693604
1775158100.283616,0,4.0,3.0,0.0,1.859184741973877
1775158116.101647,0,1.0,3.0,0.0,3.650874376296997
1775158116.101647,0,2.0,3.0,0.0,3.3026607036590576
1775158116.101647,0,3.0,3.0,0.0,2.946777105331421
1775158116.101647,0,4.0,3.0,0.0,1.859184741973877
1775158121.8572605,0,1.0,3.0,0.0,3.650874376296997
1775158121.8572605,0,2.0,3.0,0.0,3.3026607036590576
1775158121.8572605,0,3.0,3.0,0.0,2.946777105331421
1775158121.8572605,0,4.0,3.0,0.0,1.859184741973877
1775158145.133504,0,1.0,3.0,0.0,3.650874376296997
1775158145.133504,0,2.0,3.0,0.0,3.3026607036590576
1775158145.133504,0,3.0,3.0,0.0,2.946777105331421
1775158145.133504,0,4.0,3.0,0.0,1.859184741973877
1775158152.9534645,0,1.0,3.0,0.0,3.647806406021118
1775158152.9534645,0,2.0,3.0,0.0,3.3026607036590576
1775158152.9534645,0,3.0,3.0,0.0,2.946777105331421
1775158152.9534645,0,4.0,3.0,0.0,1.8576507568359375
1775158171.4725683,0,1.0,3.0,0.0,3.6493403911590576
1775158171.4725683,0,2.0,3.0,0.0,3.1968159675598145
1775158171.4725683,0,3.0,3.0,0.0,2.946777105331421
1775158171.4725683,0,4.0,3.0,0.0,1.859184741973877
1775158178.6387377,0,1.0,3.0,0.0,3.650874376296997
1775158178.6387377,0,2.0,3.0,0.0,1.8775924444198608
1775158178.6387377,0,3.0,3.0,0.0,2.9483110904693604
1775158178.6387377,0,4.0,3.0,0.0,1.859184741973877
1775158184.0967574,0,1.0,3.0,0.0,3.650874376296997
1775158184.0967574,0,2.0,3.0,0.0,1.7487380504608154
1775158184.0967574,0,3.0,3.0,0.0,2.946777105331421
1775158184.0967574,0,4.0,3.0,0.0,1.859184741973877
1775158190.2436652,0,1.0,3.0,0.0,3.6524083614349365
1775158190.2436652,0,2.0,3.0,0.0,1.636757493019104
1775158190.2436652,0,3.0,3.0,0.0,2.946777105331421
1775158190.2436652,0,4.0,3.0,0.0,1.859184741973877
1775158197.2973049,0,1.0,3.0,0.0,3.6524083614349365
1775158197.2973049,0,2.0,3.0,0.0,1.728796362876892
1775158197.2973049,0,3.0,3.0,0.0,2.946777105331421
